id,Dex Number,Region,Name,Type 1,Type 2,Ability 1,Ability 2,Hidden Ability,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Total,Weight (lb.),Height (m)
1,1,Kanto,Bulbasaur,grass,poison,Overgrow,,Chlorophyll,45,49,49,65,65,45,318,15.2,0.7
2,2,Kanto,Ivysaur,grass,poison,Overgrow,,Chlorophyll,60,62,63,80,80,60,405,28.7,1
3,3,Kanto,Venusaur-M,grass,poison,Overgrow,,Chlorophyll,80,82,83,100,100,80,525,220.5,2
4,3,Kanto,Venusaur-F,grass,poison,Overgrow,,Chlorophyll,80,82,83,100,100,80,525,220.5,2
5,3,Kanto,Mega Venusaur,grass,poison,Thick Fat,,,80,100,123,122,120,80,625,342.8,2.4
6,4,Kanto,Charmander,fire,,Blaze,,Solar Power,39,52,43,60,50,65,309,18.7,0.6
7,5,Kanto,Charmeleon,fire,,Blaze,,Solar Power,58,64,58,80,65,80,405,41.9,1.1
8,6,Kanto,Charizard,fire,flying,Blaze,,Solar Power,78,84,78,109,85,100,534,199.5,1.7
9,6,Kanto,Mega Charizard X,fire,dragon,Tough Claws,,,78,130,111,130,85,100,634,243.6,1.7
10,6,Kanto,Mega Charizard Y,fire,flying,Drought,,,78,104,78,159,115,100,634,221.6,1.7
11,7,Kanto,Squirtle,water,,Torrent,,Rain Dish,44,48,65,50,64,43,314,19.8,0.5
12,8,Kanto,Wartortle,water,,Torrent,,Rain Dish,59,63,80,65,80,58,405,49.6,1
13,9,Kanto,Blastoise,water,,Torrent,,Rain Dish,79,83,100,85,105,78,530,188.5,1.6
14,9,Kanto,Mega Blastoise,water,,Mega Launcher,,,79,103,120,135,115,78,630,222.9,1.6
15,10,Kanto,Caterpie,bug,,Shield Dust,,Run Away,45,30,35,20,20,45,195,6.4,0.3
16,11,Kanto,Metapod,bug,,Shed Skin,,,50,20,55,25,25,30,205,21.8,0.7
17,12,Kanto,Butterfree-M,bug,flying,Compound Eyes,,Tinted Lens,60,45,50,90,80,70,395,70.5,1.1
18,12,Kanto,Butterfree-F,bug,flying,Compound Eyes,,Tinted Lens,60,45,50,90,80,70,395,70.5,1.1
19,13,Kanto,Weedle,bug,poison,Shield Dust,,Run Away,40,35,30,20,20,50,195,7.1,0.3
20,14,Kanto,Kakuna,bug,poison,Shed Skin,,,45,25,50,25,25,35,205,22,0.6
21,15,Kanto,Beedrill,bug,poison,Swarm,,Sniper,65,90,40,45,80,75,395,65,1
22,15,Kanto,Mega Beedrill,bug,poison,Adaptability,,,65,150,40,15,80,145,495,89.3,1.4
23,16,Kanto,Pidgey,normal,flying,Keen Eye,Tangled Feet,Big Pecks,40,45,40,35,35,56,251,4,0.3
24,17,Kanto,Pidgeotto,normal,flying,Keen Eye,Tangled Feet,Big Pecks,63,60,55,50,50,71,349,66.1,1.1
25,18,Kanto,Pidgeot,normal,flying,Keen Eye,Tangled Feet,Big Pecks,83,80,75,70,70,101,479,87.1,1.5
26,18,Kanto,Mega Pidgeot,normal,flying,No Guard,,,83,80,80,135,80,121,579,111.3,2.2
27,19,Kanto,Rattata-M,normal,,Run Away,Guts,Hustle,30,56,35,25,35,72,253,7.7,0.3
28,19,Kanto,Rattata-F,normal,,Run Away,Guts,Hustle,30,56,35,25,35,72,253,7.7,0.3
29,19,Alola,Alolan Rattata,normal,dark,Gluttony,Hustle,Thick Fat,30,56,35,25,35,72,253,8.4,0.3
30,20,Kanto,Raticate-M,normal,,Run Away,Guts,Hustle,55,81,60,50,70,97,413,40.8,0.7
31,20,Kanto,Raticate-F,normal,,Run Away,Guts,Hustle,55,81,60,50,70,97,413,40.8,0.7
32,20,Alola,Alolan Raticate,normal,dark,Gluttony,Hustle,Thick Fat,75,71,70,40,80,77,413,56.2,0.7
33,21,Kanto,Spearow,normal,flying,Keen Eye,,Sniper,40,60,30,31,31,70,262,4.4,0.3
34,22,Kanto,Fearow,normal,flying,Keen Eye,,Sniper,65,90,65,61,61,100,442,83.8,1.2
